Time [s],Value,Parity Error,Framing Error
5.3831975s,0x00,,
5.38443575s,0x00,,
5.385674s,0x00,,
5.38691225s,0x00,,
5.38815075s,0x00,,
5.389389s,0x00,,
5.39062725s,0x00,,
5.3918655s,0x00,,
5.39310375s,0x00,,
5.39434225s,0x00,,
5.3955805s,0x00,,
5.39681875s,0x00,,
5.398057s,0xAC,,
5.535405s,0xFE,,
5.53664325s,0x55,,
5.53788175s,0xEF,,
5.53912s,0x2C,,
5.54035825s,0x7D,,
5.5415965s,0x00,,
5.54283475s,0x00,,
5.54407325s,0x00,,
5.5453115s,0x00,,
5.54654975s,0x00,,
5.547788s,0x00,,
5.54902625s,0x00,,
5.55026475s,0x00,,
5.551503s,0x00,,
5.55274125s,0x00,,
5.5539795s,0x00,,
5.55521775s,0x00,,
5.55645625s,0x00,,
5.5576945s,0x00,,
5.55893275s,0x00,,
5.560171s,0x18,,
5.56140925s,0x01,,
5.56264775s,0x00,,
5.563886s,0x00,,
5.56512425s,0x00,,
5.5663625s,0x00,,
5.56760075s,0x00,,
5.56883925s,0x00,,
5.5700775s,0x00,,
5.57131575s,0x05,,
5.572554s,0x00,,
5.57379225s,0x08,,
5.57503075s,0x3B,,
5.576269s,0x11,,
5.57750725s,0x00,,
5.5787455s,0x04,,
5.57998375s,0x08,,
5.58122225s,0x01,,
5.5824605s,0x2C,,
5.58369875s,0x32,,
5.584937s,0x00,,
5.58617525s,0x00,,
5.58741375s,0x20,,
5.588652s,0x06,,
5.58989025s,0x0A,,
5.5911285s,0x32,,
5.59236675s,0x00,,
5.59360525s,0xE8,,
5.7327075s,0xFE,,
5.73394575s,0x55,,
5.735184s,0xEF,,
5.73642225s,0x2F,,
5.73766075s,0x7C,,
5.738899s,0x00,,
5.74013725s,0x00,,
5.7413755s,0x00,,
5.74261375s,0x00,,
5.74385225s,0x00,,
5.7450905s,0x00,,
5.74632875s,0x00,,
5.747567s,0x00,,
5.74880525s,0x00,,
5.75004375s,0x00,,
5.751282s,0x00,,
5.75252025s,0x00,,
5.7537585s,0x00,,
5.75499675s,0x00,,
5.75623525s,0x00,,
5.7574735s,0x00,,
5.75871175s,0x00,,
5.75995s,0x00,,
5.76118825s,0x00,,
5.7624265s,0x00,,
5.763665s,0x00,,
5.76490325s,0x00,,
5.7661415s,0x00,,
5.76737975s,0x00,,
5.76861825s,0x00,,
5.7698565s,0x01,,
5.77109475s,0x00,,
5.772333s,0x00,,
5.77357125s,0x00,,
5.77480975s,0x00,,
5.776048s,0x00,,
5.77728625s,0x00,,
5.7785245s,0x00,,
5.77976275s,0x00,,
5.781001s,0x00,,
5.7822395s,0x00,,
5.78347775s,0x00,,
5.784716s,0x00,,
5.78595425s,0x00,,
5.7871925s,0x00,,
5.788431s,0x00,,
5.78966925s,0x00,,
5.7909075s,0x00,,
5.79214575s,0x00,,
5.793384s,0x00,,
5.7946225s,0xAC,,
5.93506625s,0xFE,,
5.9363045s,0x55,,
5.93754275s,0xEF,,
5.938781s,0x13,,
5.9400195s,0x7A,,
5.94125775s,0x01,,
5.942496s,0x00,,
5.94373425s,0x00,,
5.9449725s,0x00,,
5.946211s,0x00,,
5.94744925s,0x00,,
5.9486875s,0x00,,
