Time [s],Value,Parity Error,Framing Error
18.7511955s,0x7A,,
18.7522375s,0x01,,
18.7532795s,0x7E,,
18.94791225s,0xEF,,
18.94895425s,0x55,,
18.94999625s,0xFE,,
18.95103825s,0x03,,
18.95208025s,0x7C,,
18.95312225s,0x00,,
18.954164s,0x7F,,
19.148224s,0xEF,,
19.149266s,0x55,,
19.15030775s,0xFE,,
19.15134975s,0x03,,
19.15239175s,0x7B,,
19.15343375s,0x00,,
19.15447575s,0x7E,,
19.348477s,0xEF,,
19.349519s,0x55,,
19.350561s,0xFE,,
19.351603s,0x03,,
19.35264475s,0x7C,,
19.35368675s,0x00,,
19.35472875s,0x7F,,
19.548984s,0xEF,,
19.550026s,0x55,,
19.55106775s,0xFE,,
19.55211s,0x04,,
19.55315175s,0x77,,
19.55419375s,0x00,,
19.55523575s,0x00,,
19.55627775s,0x7B,,
19.74984275s,0xEF,,
19.7508845s,0x55,,
19.7519265s,0xFE,,
19.7529685s,0x03,,
19.7540105s,0x7C,,
19.7550525s,0x00,,
19.75609425s,0x7F,,
19.95708975s,0xEF,,
19.95813175s,0x55,,
19.95917375s,0xFE,,
19.96021575s,0x03,,
19.96125775s,0x7D,,
19.9622995s,0x00,,
19.9633415s,0x80,,
20.15805925s,0xEF,,
20.159101s,0x55,,
20.160143s,0xFE,,
20.161185s,0x03,,
20.162227s,0x7C,,
20.163269s,0x00,,
20.164311s,0x7F,,
20.35861825s,0xEF,,
20.35966025s,0x55,,
20.36070225s,0xFE,,
20.36174425s,0x03,,
20.362786s,0x7A,,
20.363828s,0x01,,
20.36487s,0x7E,,
20.558904s,0xEF,,
20.55994575s,0x55,,
20.56098775s,0xFE,,
20.56202975s,0x03,,
20.56307175s,0x7C,,
20.5641135s,0x00,,
20.5651555s,0x7F,,
20.7594565s,0xEF,,
20.76049825s,0x55,,
20.76154025s,0xFE,,
20.76258225s,0x03,,
20.76362425s,0x7B,,
20.76466625s,0x00,,
20.76570825s,0x7E,,
20.960276s,0xEF,,
20.961318s,0x55,,
20.96236s,0xFE,,
20.96340175s,0x03,,
20.96444375s,0x7C,,
20.96548575s,0x00,,
20.96652775s,0x7F,,
21.16138225s,0xEF,,
21.162424s,0x55,,
21.163466s,0xFE,,
21.164508s,0x04,,
21.16555s,0x77,,
21.166592s,0x00,,
21.16763375s,0x00,,
21.16867575s,0x7B,,
21.3618435s,0xEF,,
21.3628855s,0x55,,
21.3639275s,0xFE,,
21.3649695s,0x03,,
21.36601125s,0x7C,,
21.36705325s,0x00,,
21.36809525s,0x7F,,
21.56242875s,0xEF,,
21.5634705s,0x55,,
21.5645125s,0xFE,,
21.5655545s,0x03,,
21.5665965s,0x7D,,
21.5676385s,0x00,,
21.5686805s,0x80,,
21.7628315s,0xEF,,
21.7638735s,0x55,,
21.76491525s,0xFE,,
21.76595725s,0x03,,
21.76699925s,0x7C,,
21.76804125s,0x00,,
21.76908325s,0x7F,,
21.9636705s,0xEF,,
21.9647125s,0x55,,
21.9657545s,0xFE,,
21.9667965s,0x03,,
21.9678385s,0x7A,,
21.9688805s,0x01,,
21.96992225s,0x7E,,
22.16458775s,0xEF,,
22.16562975s,0x55,,
22.16667175s,0xFE,,
22.16771375s,0x03,,
22.16875575s,0x7C,,
22.1697975s,0x00,,
22.1708395s,0x7F,,
22.365199s,0xEF,,
22.366241s,0x55,,
22.367283s,0xFE,,
22.36832475s,0x03,,
22.36936675s,0x7B,,
22.37040875s,0x00,,
22.37145075s,0x7E,,
22.56640925s,0xEF,,
22.56745125s,0x55,,
22.56849325s,0xFE,,
22.56953525s,0x03,,
22.57057725s,0x7C,,
22.57161925s,0x00,,
22.57266125s,0x7F,,
22.76745025s,0xEF,,
22.76849225s,0x55,,
22.76953425s,0xFE,,
22.77057625s,0x04,,
22.771618s,0x77,,
22.77266s,0x00,,
22.773702s,0x00,,
22.774744s,0x7B,,
22.967241s,0xEF,,
22.968283s,0x55,,
22.969325s,0xFE,,
22.97036675s,0x03,,
22.97140875s,0x7C,,
22.97245075s,0x00,,
22.97349275s,0x7F,,
23.16925875s,0xEF,,
23.17030075s,0x55,,
23.17134275s,0xFE,,
23.17238475s,0x03,,
23.1734265s,0x7D,,
23.1744685s,0x00,,
23.1755105s,0x80,,
23.370593s,0xEF,,
23.37163475s,0x55,,
23.37267675s,0xFE,,
23.37371875s,0x03,,
23.37476075s,0x7C,,
23.37580275s,0x00,,
23.3768445s,0x7F,,
23.5706115s,0xEF,,
23.57165325s,0x55,,
23.57269525s,0xFE,,
23.57373725s,0x03,,
23.57477925s,0x7A,,
23.57582125s,0x01,,
23.57686325s,0x7E,,
23.77122925s,0xEF,,
23.772271s,0x55,,
23.773313s,0xFE,,
23.774355s,0x03,,
23.775397s,0x7C,,
23.776439s,0x00,,
23.77748075s,0x7F,,
23.97159275s,0xEF,,
23.97263475s,0x55,,
23.97367675s,0xFE,,
23.97471875s,0x03,,
23.97576075s,0x7B,,
23.97680275s,0x00,,
23.97784475s,0x7E,,
24.17211275s,0xEF,,
24.17315475s,0x55,,
24.17419675s,0xFE,,
24.17523875s,0x03,,
24.17628075s,0x7C,,
24.17732275s,0x00,,
24.17836475s,0x7F,,
24.37311475s,0xEF,,
24.37415675s,0x55,,
24.37519875s,0xFE,,
24.37624075s,0x04,,
24.3772825s,0x77,,
24.3783245s,0x00,,
24.3793665s,0x00,,
24.3804085s,0x7B,,
24.57388225s,0xEF,,
24.57492425s,0x55,,
24.57596625s,0xFE,,
24.57700825s,0x03,,
24.57805025s,0x7C,,
24.579092s,0x00,,
24.580134s,0x7F,,
24.7742005s,0xEF,,
24.77524225s,0x55,,
24.77628425s,0xFE,,
24.77732625s,0x03,,
24.77836825s,0x7D,,
24.77941025s,0x00,,
24.78045225s,0x80,,
24.97494825s,0xEF,,
24.97599025s,0x55,,
24.97703225s,0xFE,,
24.97807425s,0x03,,
24.97911625s,0x7C,,
24.98015825s,0x00,,
24.98120025s,0x7F,,
25.1755595s,0xEF,,
25.1766015s,0x55,,
25.1776435s,0xFE,,
25.1786855s,0x03,,
25.17972725s,0x7A,,
25.18076925s,0x01,,
25.18181125s,0x7E,,
25.37645725s,0xEF,,
25.37749925s,0x55,,
25.37854125s,0xFE,,
25.37958325s,0x03,,
25.380625s,0x7C,,
25.381667s,0x00,,
25.382709s,0x7F,,
25.5776545s,0xEF,,
25.5786965s,0x55,,
25.5797385s,0xFE,,
25.5807805s,0x03,,
25.5818225s,0x7B,,
25.58286425s,0x00,,
25.58390625s,0x7E,,
25.7792035s,0xEF,,
25.7802455s,0x55,,
25.7812875s,0xFE,,
25.7823295s,0x03,,
25.7833715s,0x7C,,
25.78441325s,0x00,,
25.78545525s,0x7F,,
25.97900075s,0xEF,,
25.9800425s,0x55,,
25.9810845s,0xFE,,
25.9821265s,0x04,,
25.9831685s,0x77,,
25.9842105s,0x00,,
25.9852525s,0x00,,
25.9862945s,0x7B,,
26.1801655s,0xEF,,
26.18120725s,0x55,,
26.18224925s,0xFE,,
26.18329125s,0x03,,
26.18433325s,0x7C,,
26.18537525s,0x00,,
26.18641725s,0x7F,,
26.38084175s,0xEF,,
26.3818835s,0x55,,
26.3829255s,0xFE,,
26.3839675s,0x03,,
26.3850095s,0x7D,,
26.3860515s,0x00,,
26.3870935s,0x80,,
26.58169375s,0xEF,,
26.58273575s,0x55,,
26.58377775s,0xFE,,
26.58481975s,0x03,,
26.58586175s,0x7C,,
26.58690375s,0x00,,
26.58794575s,0x7F,,
26.782344s,0xEF,,
26.783386s,0x55,,
26.784428s,0xFE,,
26.78547s,0x03,,
26.786512s,0x7A,,
26.78755375s,0x01,,
26.78859575s,0x7E,,
26.9828185s,0xEF,,
